 # Time,   Mach,     alfa,     beta,     Cd,     CL_alfa,     Cn_p_alfa,     Cn_q_alfa 
1.000e-02, 2.793e+00, 1.024e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-02, 2.678e+00, 2.119e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.000e-02, 2.579e+00, 3.187e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
4.000e-02, 2.476e+00, 4.446e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
5.000e-02, 2.398e+00, 5.495e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
6.000e-02, 2.321e+00, 6.643e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
7.000e-02, 2.242e+00, 7.946e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
8.000e-02, 2.176e+00, 9.144e-04, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
9.000e-02, 2.107e+00, 1.052e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.000e-01, 2.042e+00, 1.195e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.100e-01, 1.982e+00, 1.341e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.200e-01, 1.931e+00, 1.473e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.300e-01, 1.877e+00, 1.627e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.400e-01, 1.826e+00, 1.785e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.500e-01, 1.777e+00, 1.948e-03, 0.000e+00, 5.500e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.600e-01, 1.731e+00, 2.115e-03, 0.000e+00, 5.499e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.700e-01, 1.693e+00, 2.262e-03, 0.000e+00, 5.499e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.800e-01, 1.652e+00, 2.437e-03, 0.000e+00, 5.499e-01, 0.000e+00, 0.000e+00, 0.000e+00
1.900e-01, 1.612e+00, 2.616e-03, 0.000e+00, 5.498e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.000e-01, 1.574e+00, 2.800e-03, 0.000e+00, 5.497e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.100e-01, 1.538e+00, 2.988e-03, 0.000e+00, 5.496e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.200e-01, 1.504e+00, 3.180e-03, 0.000e+00, 5.494e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.300e-01, 1.476e+00, 3.344e-03, 0.000e+00, 5.492e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.400e-01, 1.444e+00, 3.544e-03, 0.000e+00, 5.489e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.500e-01, 1.414e+00, 3.749e-03, 0.000e+00, 5.485e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.600e-01, 1.385e+00, 3.958e-03, 0.000e+00, 5.481e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.700e-01, 1.357e+00, 4.172e-03, 0.000e+00, 5.474e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.800e-01, 1.331e+00, 4.378e-03, 0.000e+00, 5.467e-01, 0.000e+00, 0.000e+00, 0.000e+00
2.900e-01, 1.306e+00, 4.599e-03, 0.000e+00, 5.457e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.000e-01, 1.281e+00, 4.826e-03, 0.000e+00, 5.446e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.100e-01, 1.258e+00, 5.048e-03, 0.000e+00, 5.432e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.200e-01, 1.235e+00, 5.277e-03, 0.000e+00, 5.416e-01, 0.000e+00, 0.000e+00, 0.000e+00
3.300e-01, 1.217e+00, 5.481e-03, 0.000e+00, 5.399e-01, 0.000e+00, 0.000e+00, 0.000e+00
